timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,quatW,quatX,quatY,quatZ,altitude,temperature,analogValue,state
241283,0.016296,-0.082214,0.994263,-1.968879,-0.450021,1.572636,-0.654403,-0.085894,-0.586569,0.469368,632.67,31.59,768.00,1
241383,-0.012512,-0.106140,0.991821,-1.038092,0.007743,0.916509,-0.660008,-0.083539,-0.577815,0.472792,632.67,31.59,768.00,1
241483,-0.028137,-0.070007,0.997681,-0.854987,1.670951,-0.975581,-0.664138,-0.081368,-0.569822,0.477069,632.67,31.59,768.00,1
241583,0.020691,-0.066589,1.012817,2.898675,-3.547555,-36.040279,-0.655261,-0.061264,-0.559292,0.504047,632.65,31.59,766.00,1
241683,0.190125,0.100891,0.861450,-10.834235,-4.066354,-88.103264,-0.621507,-0.008236,-0.555490,0.552344,632.65,31.59,768.00,1
241783,0.024109,-0.274109,1.009888,-4.761237,0.129813,-59.523556,-0.595327,0.026370,-0.547247,0.587709,632.67,31.59,768.00,1
241883,0.153503,-0.272644,1.078735,-7.935065,18.135183,-47.026608,-0.564536,0.046570,-0.548950,0.614635,632.67,31.59,768.00,1
241983,0.021667,-0.055359,1.007446,-3.357428,13.450736,-32.011959,-0.544475,0.056179,-0.545638,0.634556,632.67,31.59,768.00,1
242083,-0.080872,-0.284851,0.851196,-4.349250,13.221854,-24.352047,-0.527872,0.063039,-0.542116,0.650752,632.72,31.59,766.00,1
242183,-0.010071,-0.321960,0.913696,-5.569953,1.747245,-13.274165,-0.522186,0.072183,-0.534339,0.660746,632.72,31.59,766.00,1
242283,0.080750,-0.328796,1.010376,-3.387946,-8.842355,-10.268184,-0.522718,0.085417,-0.520422,0.669793,632.72,31.59,768.00,1
242383,0.082703,-0.380066,0.951294,2.959710,-0.282174,1.038579,-0.525919,0.085769,-0.507094,0.677422,632.72,31.59,768.00,1
242483,-0.047668,-0.266296,0.974731,2.822381,0.953788,3.739385,-0.531524,0.081558,-0.494423,0.682912,632.73,31.59,766.00,1
242583,0.088074,-0.251160,1.007446,2.654535,1.045340,4.563359,-0.536743,0.078656,-0.481694,0.688246,632.73,31.59,768.00,1
242683,0.012390,-0.290710,0.976196,-1.251715,-2.906686,4.441289,-0.543551,0.079728,-0.469007,0.691534,632.73,31.59,768.00,1
242783,0.053406,-0.277527,0.981079,0.136834,1.075858,2.991704,-0.547652,0.078789,-0.457029,0.696409,632.73,31.59,766.00,1
242883,0.000183,-0.182800,0.937622,1.067621,-0.419503,4.960088,-0.554306,0.075965,-0.443742,0.700042,632.74,31.59,768.00,1
242983,0.040710,-0.275574,0.984497,2.654535,0.816458,5.494145,-0.560216,0.073046,-0.429617,0.704445,632.74,31.59,768.00,1
243083,-0.001282,-0.129089,0.936157,2.974969,-5.775339,22.782352,-0.580112,0.065469,-0.412946,0.699036,632.73,31.59,766.00,1
243183,0.062683,-0.377625,1.046509,5.080682,-4.432565,32.639530,-0.603854,0.056910,-0.395339,0.689798,632.72,31.59,768.00,1
243283,0.163269,0.153625,1.005981,21.865351,-3.562814,32.898930,-0.629326,0.034728,-0.367712,0.683756,632.72,31.59,768.00,1
243383,0.293152,0.118958,0.933716,11.580926,-13.877755,43.580082,-0.662792,0.023867,-0.339529,0.666970,632.72,31.59,768.00,1
243483,0.474792,0.138000,0.965454,-4.944343,-6.706125,77.363045,-0.711263,0.010642,-0.324566,0.623410,632.70,31.59,768.00,1
243583,0.437683,-0.013367,1.021118,2.913934,0.496024,61.417606,-0.746513,-0.004287,-0.308413,0.589553,632.69,31.59,768.00,1
243683,-0.090149,0.054016,0.951294,0.609857,5.043143,43.564823,-0.771743,-0.021882,-0.294980,0.562949,632.69,31.59,766.00,1
243783,0.100281,-0.040222,0.954224,6.652337,19.096487,49.103764,-0.793887,-0.045040,-0.287439,0.533934,632.69,31.59,768.00,1
243883,0.096375,-0.174011,1.018677,8.254510,4.051322,37.522343,-0.812785,-0.054397,-0.269966,0.513354,632.73,31.59,768.00,1
243983,0.016785,0.141907,0.935669,0.945550,-3.623849,5.280522,-0.820364,-0.055130,-0.249741,0.511453,632.72,31.59,766.00,1
244083,-0.122864,0.054504,1.006470,2.685052,5.851859,3.678349,-0.824832,-0.060557,-0.235177,0.510557,632.69,31.59,766.00,1
244183,-0.157043,0.030579,0.985962,-2.060431,0.068778,-0.182124,-0.828892,-0.058472,-0.218501,0.511632,632.69,31.59,766.00,1
244283,-0.091614,-0.028015,0.998657,-1.053351,2.479666,0.458745,-0.832094,-0.054262,-0.203496,0.513085,632.72,31.59,766.00,1
244383,0.032410,-0.043152,1.006958,-2.441901,-1.853830,-2.638789,-0.834243,-0.044483,-0.186493,0.516984,632.73,31.59,766.00,1
244483,0.045593,0.000305,1.011353,-1.846808,-3.288156,-3.142329,-0.836226,-0.036243,-0.167252,0.520990,632.72,31.59,766.00,1
244583,-0.006653,-0.027527,0.965454,-3.967780,-1.014596,-9.123775,-0.834766,-0.026169,-0.150615,0.528950,632.72,31.59,769.00,1
